season,game_id,game_date,session,game_period,home_team,away_team,home_score,away_score,home_shots,away_shots,home_corsi,away_corsi,home_corsi_5v5,away_corsi_5v5,home_goals,away_goals,home_game_num,away_game_num,home_points_entering,away_points_entering,home_points_possible,away_points_possible,home_points_percent,away_points_percent
20162017,2016020001,2016-10-12,R,4  ,OTT,TOR,5                                                                                                                                                                                                                                                              ,4                                                                                                                                                                                                                                                              ,25,34,51,81,36,68,5,4,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020002,2016-10-12,R,3  ,CHI,STL,2                                                                                                                                                                                                                                                              ,5                                                                                                                                                                                                                                                              ,17,29,39,53,27,34,2,5,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020003,2016-10-12,R,3  ,EDM,CGY,7                                                                                                                                                                                                                                                              ,4                                                                                                                                                                                                                                                              ,21,37,52,64,34,43,7,4,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020004,2016-10-12,R,3  ,S.J,L.A,2                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,29,21,73,58,62,52,2,1,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020005,2016-10-13,R,3  ,BUF,MTL,1                                                                                                                                                                                                                                                              ,4                                                                                                                                                                                                                                                              ,30,20,53,44,36,36,1,4,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020006,2016-10-13,R,3  ,NYR,NYI,5                                                                                                                                                                                                                                                              ,3                                                                                                                                                                                                                                                              ,34,25,73,58,49,51,5,3,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020007,2016-10-13,R,5  ,PIT,WSH,3                                                                                                                                                                                                                                                              ,2                                                                                                                                                                                                                                                              ,28,41,52,72,40,53,2,2,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020008,2016-10-13,R,3  ,CBJ,BOS,3                                                                                                                                                                                                                                                              ,6                                                                                                                                                                                                                                                              ,28,31,63,60,47,46,3,6,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020009,2016-10-13,R,3  ,T.B,DET,6                                                                                                                                                                                                                                                              ,4                                                                                                                                                                                                                                                              ,30,28,74,47,55,38,6,4,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
20162017,2016020010,2016-10-13,R,4  ,FLA,N.J,2                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,32,23,67,37,51,36,2,1,1                                                                                                                                                                                                                                                              ,1                                                                                                                                                                                                                                                              ,0,0,0,0,NA,NA
